case_id,employee_id,created_date,resolved_date,country,department,category,priority,channel,agent_id,agent_tenure_months,sla_target_hours,resolution_hours,sla_met,first_contact_resolution,reopened,csat
C000001,E00018,2025-07-01,2025-07-02,IT,HR,Payroll,Critical,Portal,A036,11,24,11.0,1,0,0,4
C000002,E00135,2025-07-01,2025-07-03,PL,Operations,Contract & Documents,Standard,Portal,A041,22,48,43.2,1,1,0,5
C000003,E00205,2025-07-01,2025-07-02,IT,Operations,Leave & Absence,Standard,Chat,A025,3,24,16.5,1,0,0,
C000004,E00252,2025-07-01,2025-07-01,ES,Operations,Systems & Access,Standard,Chat,A016,51,8,7.1,1,0,0,5
C000005,E00257,2025-07-01,2025-07-02,IT,Operations,Leave & Absence,Standard,Portal,A031,13,24,8.4,1,1,0,
C000006,E00346,2025-07-01,2025-07-08,PL,HR,Contract & Documents,Standard,Chat,A025,3,48,172.5,0,0,1,
C000007,E00368,2025-07-01,2025-07-02,ES,Tech,Leave & Absence,High,Chat,A023,52,24,26.5,0,1,0,
C000008,E00397,2025-07-01,2025-07-01,IT,Customer Service,Systems & Access,High,Phone,A033,12,8,3.6,1,0,1,
C000009,E00417,2025-07-01,2025-07-02,IT,HR,Payroll,Standard,Phone,A039,11,24,18.3,1,1,0,
C000010,E00433,2025-07-01,2025-07-01,PL,Customer Service,Leave & Absence,Standard,Chat,A009,20,24,4.8,1,1,0,
C000011,E00455,2025-07-01,2025-07-01,ES,Operations,Leave & Absence,Standard,Chat,A035,21,24,6.0,1,1,0,
C000012,E00500,2025-07-01,2025-07-04,IT,Customer Service,Benefits,Standard,Portal,A003,10,48,66.1,0,1,0,
C000013,E00608,2025-07-01,2025-07-02,ES,Tech,Performance & Development,Critical,Portal,A032,48,72,36.7,1,1,0,
C000014,E00665,2025-07-01,2025-07-02,PL,Tech,Leave & Absence,Standard,Chat,A020,11,24,9.7,1,0,1,
C000015,E00773,2025-07-01,2025-07-01,PL,Tech,Contract & Documents,Standard,Portal,A019,18,48,9.9,1,0,1,
C000016,E00793,2025-07-01,2025-07-04,PL,Customer Service,Onboarding & Offboarding,High,Portal,A040,9,48,71.7,0,0,0,
C000017,E00801,2025-07-01,2025-07-03,DE,Customer Service,Employee Relations,Standard,Phone,A028,17,72,48.4,1,1,0,
C000018,E00908,2025-07-01,2025-07-03,ES,Operations,Contract & Documents,Standard,Portal,A041,22,48,56.9,0,0,0,
C000019,E00920,2025-07-01,2025-07-01,DE,Operations,Leave & Absence,Standard,Portal,A034,20,24,1.3,1,0,0,5
C000020,E00921,2025-07-01,2025-07-04,IT,Customer Service,Benefits,High,Phone,A014,11,48,59.2,0,1,0,3
C000021,E01011,2025-07-01,2025-07-01,DE,Finance,Systems & Access,Standard,Portal,A008,18,8,2.2,1,1,0,4
C000022,E01089,2025-07-01,2025-07-02,PL,Tech,Onboarding & Offboarding,Standard,Chat,A014,11,48,30.5,1,1,0,5
C000023,E01116,2025-07-01,2025-07-05,IT,Operations,Benefits,Standard,Portal,A008,18,48,104.1,0,0,0,2
C000024,E01142,2025-07-01,2025-07-01,DE,Finance,Systems & Access,Standard,Phone,A009,20,8,7.5,1,0,0,
C000025,E01168,2025-07-01,2025-07-01,PL,Customer Service,Systems & Access,Standard,Portal,A036,11,8,1.7,1,1,0,5
C000026,E01195,2025-07-01,2025-07-02,PL,Finance,Benefits,High,Chat,A033,12,48,8.9,1,1,0,
C000027,E01261,2025-07-01,2025-07-02,IT,Customer Service,Employee Relations,Standard,Phone,A017,27,72,23.7,1,0,1,4
C000028,E01279,2025-07-01,2025-07-01,DE,Finance,Leave & Absence,Standard,Portal,A024,21,24,3.3,1,1,0,
C000029,E01288,2025-07-01,2025-07-05,PL,Operations,Employee Relations,Standard,Portal,A005,10,72,90.0,0,0,0,
C000030,E01304,2025-07-01,2025-07-02,IT,Operations,Benefits,Standard,Phone,A025,3,48,28.9,1,0,1,
C000031,E01310,2025-07-01,2025-07-02,PL,Operations,Payroll,High,Phone,A018,17,24,32.6,0,1,0,4
C000032,E01397,2025-07-01,2025-07-03,DE,Customer Service,Employee Relations,Standard,Portal,A041,22,72,48.1,1,1,0,
C000033,E01477,2025-07-01,2025-07-03,PL,Operations,Contract & Documents,High,Chat,A011,14,48,38.0,1,0,1,
C000034,E01513,2025-07-01,2025-07-01,IT,Customer Service,Leave & Absence,Standard,Portal,A005,10,24,3.6,1,0,1,4
C000035,E01568,2025-07-01,2025-07-01,PL,Operations,Payroll,Critical,Phone,A040,9,24,4.9,1,1,0,5
C000036,E01601,2025-07-01,2025-07-01,DE,Customer Service,Leave & Absence,Standard,Phone,A035,21,24,10.7,1,1,0,
C000037,E01618,2025-07-01,2025-07-02,PL,HR,Systems & Access,Standard,Portal,A035,21,8,11.7,0,1,0,
C000038,E01636,2025-07-01,2025-07-01,IT,Customer Service,Systems & Access,Standard,Portal,A024,21,8,6.9,1,1,0,5
C000039,E01729,2025-07-01,2025-07-01,IT,Operations,Leave & Absence,High,Phone,A006,4,24,6.8,1,0,1,
C000040,E01741,2025-07-01,2025-07-01,PL,Finance,Payroll,High,Phone,A005,10,24,6.7,1,0,1,5
C000041,E01915,2025-07-01,2025-07-01,IT,Tech,Payroll,High,Chat,A031,13,24,2.7,1,1,0,
C000042,E01938,2025-07-01,2025-07-01,IT,Customer Service,Systems & Access,Critical,Portal,A018,17,8,1.5,1,1,0,5
C000043,E02069,2025-07-01,2025-07-01,IT,Customer Service,Leave & Absence,Standard,Phone,A019,18,24,5.2,1,0,1,
C000044,E02107,2025-07-01,2025-07-01,ES,Finance,Leave & Absence,Standard,Phone,A028,17,24,5.6,1,0,0,
C000045,E02139,2025-07-01,2025-07-01,IT,Customer Service,Benefits,Standard,Portal,A024,21,48,10.4,1,1,0,5
C000046,E02194,2025-07-01,2025-07-01,DE,Sales,Payroll,Standard,Portal,A027,12,24,4.1,1,0,0,4
C000047,E02205,2025-07-01,2025-07-02,DE,Operations,Leave & Absence,Standard,Portal,A002,23,24,18.0,1,1,0,5
C000048,E02324,2025-07-01,2025-07-01,PL,Customer Service,Systems & Access,High,Portal,A008,18,8,0.6,1,0,0,
C000049,E02385,2025-07-01,2025-07-01,PL,HR,Systems & Access,Critical,Phone,A023,52,8,1.2,1,0,0,4
C000050,E02416,2025-07-01,2025-07-01,IT,Operations,Payroll,Standard,Chat,A042,1,24,6.3,1,0,0,
C000051,E02518,2025-07-01,2025-07-03,PL,Customer Service,Contract & Documents,Standard,Portal,A004,2,48,50.3,0,1,0,3
C000052,E02580,2025-07-01,2025-07-02,PL,Finance,Leave & Absence,Standard,Portal,A042,1,24,26.4,0,0,1,
C000053,E02588,2025-07-01,2025-07-02,ES,HR,Contract & Documents,High,Portal,A020,11,48,24.7,1,1,0,
C000054,E02620,2025-07-01,2025-07-01,IT,Finance,Leave & Absence,Standard,Phone,A029,17,24,8.2,1,1,0,5
C000055,E02679,2025-07-01,2025-07-04,PL,Customer Service,Onboarding & Offboarding,Standard,Phone,A008,18,48,73.2,0,0,0,3
